index	captionID	pairID	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	gold_label
10	4804607632.jpg#0	4804607632.jpg#0r1c	( ( An ( older man ) ) ( ( ( sits ( with ( ( his ( orange juice ) ) ( at ( ( a ( small table ) ) ( in ( a ( coffee shop ) ) ) ) ) ) ) ) ( while ( ( employees ( in ( bright ( colored shirts ) ) ) ) ( smile ( in ( the background ) ) ) ) ) ) . ) )	( ( A boy ) ( ( flips ( a burger ) ) . ) )	(ROOT (S (NP (DT An) (JJR older) (NN man)) (VP (VBZ sits) (PP (IN with) (NP (NP (PRP$ his) (JJ orange) (NN juice)) (PP (IN at) (NP (NP (DT a) (JJ small) (NN table)) (PP (IN in) (NP (DT a) (NN coffee) (NN shop))))))) (SBAR (IN while) (S (NP (NP (NNS employees)) (PP (IN in) (NP (JJ bright) (JJ colored) (NNS shirts)))) (VP (VBP smile) (PP (IN in) (NP (DT the) (NN background))))))) (. .)))	(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ flips) (NP (DT a) (NN burger))) (. .)))	An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.	A boy flips a burger.	contradiction	contradiction
11	4804607632.jpg#0	4804607632.jpg#0r1e	( ( An ( older man ) ) ( ( ( sits ( with ( ( his ( orange juice ) ) ( at ( ( a ( small table ) ) ( in ( a ( coffee shop ) ) ) ) ) ) ) ) ( while ( ( employees ( in ( bright ( colored shirts ) ) ) ) ( smile ( in ( the background ) ) ) ) ) ) . ) )	( ( An ( elderly man ) ) ( ( sits ( in ( a ( small shop ) ) ) ) . ) )	(ROOT (S (NP (DT An) (JJR older) (NN man)) (VP (VBZ sits) (PP (IN with) (NP (NP (PRP$ his) (JJ orange) (NN juice)) (PP (IN at) (NP (NP (DT a) (JJ small) (NN table)) (PP (IN in) (NP (DT a) (NN coffee) (NN shop))))))) (SBAR (IN while) (S (NP (NP (NNS employees)) (PP (IN in) (NP (JJ bright) (JJ colored) (NNS shirts)))) (VP (VBP smile) (PP (IN in) (NP (DT the) (NN background))))))) (. .)))	(ROOT (S (NP (DT An) (JJ elderly) (NN man)) (VP (VBZ sits) (PP (IN in) (NP (DT a) (JJ small) (NN shop)))) (. .)))	An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.	An elderly man sits in a small shop.	entailment	neutral	entailment	neutral	neutral	neutral
12	4705552913.jpg#4	4705552913.jpg#4r1n	( ( Two ( blond women ) ) ( ( are ( hugging ( one another ) ) ) . ) )	( ( Some women ) ( ( are ( hugging ( on vacation ) ) ) . ) )	(ROOT (S (NP (CD Two) (JJ blond) (NNS women)) (VP (VBP are) (VP (VBG hugging) (NP (CD one) (DT another)))) (. .)))	(ROOT (S (NP (DT Some) (NNS women)) (VP (VBP are) (VP (VBG hugging) (PP (IN on) (NP (NN vacation))))) (. .)))	Two blond women are hugging one another.	Some women are hugging on vacation.	neutral	neutral
13	4705552913.jpg#4	4705552913.jpg#4r1c	( ( Two ( blond women ) ) ( ( are ( hugging ( one another ) ) ) . ) )	( ( The women ) ( ( are sleeping ) . ) )	(ROOT (S (NP (CD Two) (JJ blond) (NNS women)) (VP (VBP are) (VP (VBG hugging) (NP (CD one) (DT another)))) (. .)))	(ROOT (S (NP (DT The) (NNS women)) (VP (VBP are) (VP (VBG sleeping))) (. .)))	Two blond women are hugging one another.	The women are sleeping.	contradiction	contradiction
14	4705552913.jpg#4	4705552913.jpg#4r1e	( ( Two ( blond women ) ) ( ( are ( hugging ( one another ) ) ) . ) )	( There ( ( are ( women ( showing affection ) ) ) . ) )	(ROOT (S (NP (CD Two) (JJ blond) (NNS women)) (VP (VBP are) (VP (VBG hugging) (NP (CD one) (DT another)))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (NNS women)) (VP (VBG showing) (NP (NN affection))))) (. .)))	Two blond women are hugging one another.	There are women showing affection.	entailment	entailment
15	4804607632.jpg#2	4804607632.jpg#2r1n	( ( ( A ( few people ) ) ( in ( ( ( a ( restaurant setting ) ) , ) ( one ( of them ) ) ) ) ) ( ( is ( drinking ( orange juice ) ) ) . ) )	( ( The people ) ( ( are ( eating omelettes ) ) . ) )	(ROOT (S (NP (NP (DT A) (JJ few) (NNS people)) (PP (IN in) (NP (NP (DT a) (NN restaurant) (NN setting)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (PRP them))))))) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)))) (. .)))	(ROOT (S (NP (DT The) (NNS people)) (VP (VBP are) (VP (VBG eating) (NP (NNS omelettes)))) (. .)))	A few people in a restaurant setting, one of them is drinking orange juice.	The people are eating omelettes.	neutral	neutral
16	4804607632.jpg#2	4804607632.jpg#2r1c	( ( ( A ( few people ) ) ( in ( ( ( a ( restaurant setting ) ) , ) ( one ( of them ) ) ) ) ) ( ( is ( drinking ( orange juice ) ) ) . ) )	( ( The people ) ( ( are ( sitting ( at ( desks ( in school ) ) ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (JJ few) (NNS people)) (PP (IN in) (NP (NP (DT a) (NN restaurant) (NN setting)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (PRP them))))))) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)))) (. .)))	(ROOT (S (NP (DT The) (NNS people)) (VP (VBP are) (VP (VBG sitting) (PP (IN at) (NP (NP (NNS desks)) (PP (IN in) (NP (NN school))))))) (. .)))	A few people in a restaurant setting, one of them is drinking orange juice.	The people are sitting at desks in school.	contradiction	contradiction	contradiction	contradiction	contradiction	contradiction
17	4804607632.jpg#2	4804607632.jpg#2r1e	( ( ( A ( few people ) ) ( in ( ( ( a ( restaurant setting ) ) , ) ( one ( of them ) ) ) ) ) ( ( is ( drinking ( orange juice ) ) ) . ) )	( ( The diners ) ( ( are ( at ( a restaurant ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (JJ few) (NNS people)) (PP (IN in) (NP (NP (DT a) (NN restaurant) (NN setting)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (PRP them))))))) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)))) (. .)))	(ROOT (S (NP (DT The) (NNS diners)) (VP (VBP are) (PP (IN at) (NP (DT a) (NN restaurant)))) (. .)))	A few people in a restaurant setting, one of them is drinking orange juice.	The diners are at a restaurant.	entailment	entailment
18	4804607632.jpg#3	4804607632.jpg#3r1e	( ( An ( older man ) ) ( ( is ( ( drinking ( orange juice ) ) ( at ( a restaurant ) ) ) ) . ) )	( ( A man ) ( ( is ( drinking juice ) ) . ) )	(ROOT (S (NP (DT An) (JJR older) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)) (PP (IN at) (NP (DT a) (NN restaurant))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (NN juice)))) (. .)))	An older man is drinking orange juice at a restaurant.	A man is drinking juice.	entailment	entailment
19	4804607632.jpg#3	4804607632.jpg#3r1c	( ( An ( older man ) ) ( ( is ( ( drinking ( orange juice ) ) ( at ( a restaurant ) ) ) ) . ) )	( ( Two women ) ( ( are ( at ( a ( restaurant ( drinking wine ) ) ) ) ) . ) )	(ROOT (S (NP (DT An) (JJR older) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)) (PP (IN at) (NP (DT a) (NN restaurant))))) (. .)))	(ROOT (S (NP (CD Two) (NNS women)) (VP (VBP are) (PP (IN at) (NP (DT a) (NN restaurant) (NN drinking) (NN wine)))) (. .)))	An older man is drinking orange juice at a restaurant.	Two women are at a restaurant drinking wine.	contradiction	contradiction
20	4804607632.jpg#3	4804607632.jpg#3r1n	( ( An ( older man ) ) ( ( is ( ( drinking ( orange juice ) ) ( at ( a restaurant ) ) ) ) . ) )	( ( ( A man ) ( in ( a restaurant ) ) ) ( ( is ( waiting ( for ( his ( meal ( to arrive ) ) ) ) ) ) . ) )	(ROOT (S (NP (DT An) (JJR older) (NN man)) (VP (VBZ is) (VP (VBG drinking) (NP (JJ orange) (NN juice)) (PP (IN at) (NP (DT a) (NN restaurant))))) (. .)))	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (NN restaurant)))) (VP (VBZ is) (VP (VBG waiting) (PP (IN for) (NP (PRP$ his) (NN meal) (S (VP (TO to) (VP (VB arrive)))))))) (. .)))	An older man is drinking orange juice at a restaurant.	A man in a restaurant is waiting for his meal to arrive.	neutral	neutral
21	4850814517.jpg#1	4850814517.jpg#1r1n	( ( ( ( ( ( A man ) ( with blond-hair ) ) , ) and ) ( ( a ( brown shirt ) ) ( ( drinking out ) ( of ( a ( public ( water fountain ) ) ) ) ) ) ) . )	( ( ( A ( blond man ) ) ( ( getting ( ( a drink ) ( of water ) ) ) ( from ( ( a fountain ) ( in ( the park ) ) ) ) ) ) . )	(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NN blond-hair))) (, ,) (CC and) (NP (NP (DT a) (JJ brown) (NN shirt)) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (DT a) (JJ public) (NN water) (NN fountain))))) (. .)))	(ROOT (NP (NP (DT A) (JJ blond) (NN man)) (VP (VBG getting) (NP (NP (DT a) (NN drink)) (PP (IN of) (NP (NN water)))) (PP (IN from) (NP (NP (DT a) (NN fountain)) (PP (IN in) (NP (DT the) (NN park)))))) (. .)))	A man with blond-hair, and a brown shirt drinking out of a public water fountain.	A blond man getting a drink of water from a fountain in the park.	neutral	neutral
22	4850814517.jpg#1	4850814517.jpg#1r1c	( ( ( ( ( ( A man ) ( with blond-hair ) ) , ) and ) ( ( a ( brown shirt ) ) ( ( drinking out ) ( of ( a ( public ( water fountain ) ) ) ) ) ) ) . )	( ( ( A ( blond man ) ) ( wearing ( a ( brown shirt ) ) ) ) ( is ( ( reading ( a book ) ) ( on ( ( a bench ) ( in ( the park ) ) ) ) ) ) )	(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NN blond-hair))) (, ,) (CC and) (NP (NP (DT a) (JJ brown) (NN shirt)) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (DT a) (JJ public) (NN water) (NN fountain))))) (. .)))	(ROOT (S (NP (NP (DT A) (JJ blond) (NN man)) (VP (VBG wearing) (NP (DT a) (JJ brown) (NN shirt)))) (VP (VBZ is) (VP (VBG reading) (NP (DT a) (NN book)) (PP (IN on) (NP (NP (DT a) (NN bench)) (PP (IN in) (NP (DT the) (NN park)))))))))	A man with blond-hair, and a brown shirt drinking out of a public water fountain.	A blond man wearing a brown shirt is reading a book on a bench in the park	contradiction	contradiction
23	4850814517.jpg#1	4850814517.jpg#1r1e	( ( ( ( ( ( A man ) ( with blond-hair ) ) , ) and ) ( ( a ( brown shirt ) ) ( ( drinking out ) ( of ( a ( public ( water fountain ) ) ) ) ) ) ) . )	( ( ( A ( blond man ) ) ( ( drinking water ) ( from ( a fountain ) ) ) ) . )	(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NN blond-hair))) (, ,) (CC and) (NP (NP (DT a) (JJ brown) (NN shirt)) (VP (VBG drinking) (PRT (RP out)) (PP (IN of) (NP (DT a) (JJ public) (NN water) (NN fountain))))) (. .)))	(ROOT (NP (NP (DT A) (JJ blond) (NN man)) (VP (VBG drinking) (NP (NN water)) (PP (IN from) (NP (DT a) (NN fountain)))) (. .)))	A man with blond-hair, and a brown shirt drinking out of a public water fountain.	A blond man drinking water from a fountain.	entailment	entailment
24	4705552913.jpg#0	4705552913.jpg#0r1c	( ( ( Two women ) ( who ( just ( had ( lunch ( ( ( hugging and ) saying ) goodbye ) ) ) ) ) ) . )	( ( The friends ) ( ( scowl ( at ( ( each other ) ( over ( a ( full ( dinner table ) ) ) ) ) ) ) . ) )	(ROOT (NP (NP (CD Two) (NNS women)) (SBAR (WHNP (WP who)) (S (ADVP (RB just)) (VP (VBD had) (NP (NP (NN lunch)) (VP (VBG hugging) (CC and) (VBG saying) (NP (UH goodbye))))))) (. .)))	(ROOT (S (NP (DT The) (NNS friends)) (VP (VBP scowl) (PP (IN at) (NP (NP (DT each) (JJ other)) (PP (IN over) (NP (DT a) (JJ full) (NN dinner) (NN table)))))) (. .)))	Two women who just had lunch hugging and saying goodbye.	The friends scowl at each other over a full dinner table.	contradiction	contradiction
25	4705552913.jpg#0	4705552913.jpg#0r1e	( ( ( Two women ) ( who ( just ( had ( lunch ( ( ( hugging and ) saying ) goodbye ) ) ) ) ) ) . )	( There ( ( are ( ( two woman ) ( in ( this picture ) ) ) ) . ) )	(ROOT (NP (NP (CD Two) (NNS women)) (SBAR (WHNP (WP who)) (S (ADVP (RB just)) (VP (VBD had) (NP (NP (NN lunch)) (VP (VBG hugging) (CC and) (VBG saying) (NP (UH goodbye))))))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (CD two) (NN woman)) (PP (IN in) (NP (DT this) (NN picture))))) (. .)))	Two women who just had lunch hugging and saying goodbye.	There are two woman in this picture.	entailment	entailment
26	4705552913.jpg#0	4705552913.jpg#0r1n	( ( ( Two women ) ( who ( just ( had ( lunch ( ( ( hugging and ) saying ) goodbye ) ) ) ) ) ) . )	( ( The friends ) ( ( ( ( ( ( have just ) ( met ( for ( ( the ( first time ) ) ( in ( 20 years ) ) ) ) ) ) , ) and ) ( have ( had ( ( a ( great time ) ) ( catching up ) ) ) ) ) . ) )	(ROOT (NP (NP (CD Two) (NNS women)) (SBAR (WHNP (WP who)) (S (ADVP (RB just)) (VP (VBD had) (NP (NP (NN lunch)) (VP (VBG hugging) (CC and) (VBG saying) (NP (UH goodbye))))))) (. .)))	(ROOT (S (NP (DT The) (NNS friends)) (VP (VP (VBP have) (ADVP (RB just)) (VP (VBN met) (PP (IN for) (NP (NP (DT the) (JJ first) (NN time)) (PP (IN in) (NP (CD 20) (NNS years))))))) (, ,) (CC and) (VP (VBP have) (VP (VBN had) (NP (NP (DT a) (JJ great) (NN time)) (VP (VBG catching) (PRT (RP up))))))) (. .)))	Two women who just had lunch hugging and saying goodbye.	The friends have just met for the first time in 20 years, and have had a great time catching up.	neutral	neutral	neutral	neutral	neutral	neutral
27	4705552913.jpg#3	4705552913.jpg#3r1n	( ( ( ( ( Two women ) , ) ( holding ( food ( carryout containers ) ) ) ) , ) ( hug . ) )	( ( The ( two sisters ) ) ( ( ( ( ( saw ( each other ) ) ( across ( the ( crowded diner ) ) ) ) and ) ( shared ( ( ( a hug ) , ) ( both ( clutching ( their ( doggie bags ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (NP (CD Two) (NNS women)) (, ,) (NP (VBG holding) (NN food) (NN carryout) (NNS containers)) (, ,)) (VP (VBD hug)) (. .)))	(ROOT (S (NP (DT The) (CD two) (NNS sisters)) (VP (VP (VBD saw) (NP (DT each) (JJ other)) (PP (IN across) (NP (DT the) (JJ crowded) (NN diner)))) (CC and) (VP (VBD shared) (NP (NP (DT a) (NN hug)) (, ,) (SBAR (WHNP (DT both)) (S (VP (VBG clutching) (NP (PRP$ their) (JJ doggie) (NNS bags)))))))) (. .)))	Two women, holding food carryout containers, hug.	The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.	neutral	neutral
28	4705552913.jpg#3	4705552913.jpg#3r1c	( ( ( ( ( Two women ) , ) ( holding ( food ( carryout containers ) ) ) ) , ) ( hug . ) )	( ( ( Two groups ) ( of ( rival ( gang members ) ) ) ) ( ( ( flipped ( each other ) ) off ) . ) )	(ROOT (S (NP (NP (CD Two) (NNS women)) (, ,) (NP (VBG holding) (NN food) (NN carryout) (NNS containers)) (, ,)) (VP (VBD hug)) (. .)))	(ROOT (S (NP (NP (CD Two) (NNS groups)) (PP (IN of) (NP (JJ rival) (NN gang) (NNS members)))) (VP (VBD flipped) (NP (DT each) (JJ other)) (PRT (RP off))) (. .)))	Two women, holding food carryout containers, hug.	Two groups of rival gang members flipped each other off.	contradiction	contradiction
29	4705552913.jpg#3	4705552913.jpg#3r1e	( ( ( ( ( Two women ) , ) ( holding ( food ( carryout containers ) ) ) ) , ) ( hug . ) )	( ( Two women ) ( ( hug ( each other ) ) . ) )	(ROOT (S (NP (NP (CD Two) (NNS women)) (, ,) (NP (VBG holding) (NN food) (NN carryout) (NNS containers)) (, ,)) (VP (VBD hug)) (. .)))	(ROOT (S (NP (CD Two) (NNS women)) (VP (VB hug) (NP (DT each) (JJ other))) (. .)))	Two women, holding food carryout containers, hug.	Two women hug each other.	entailment	entailment	entailment	entailment	contradiction	entailment
30	3637966641.jpg#1	3637966641.jpg#1r1n	( ( A ( Little ( League team ) ) ) ( ( tries ( to ( catch ( ( a runner ) ( sliding ( into ( ( a base ) ( in ( an ( afternoon game ) ) ) ) ) ) ) ) ) ) . ) )	( ( A team ) ( ( is ( ( ( trying ( to score ) ) ( the games ) ) ( winning out ) ) ) . ) )	(ROOT (S (NP (DT A) (NNP Little) (NNP League) (NN team)) (VP (VBZ tries) (S (VP (TO to) (VP (VB catch) (NP (NP (DT a) (NN runner)) (VP (VBG sliding) (PP (IN into) (NP (NP (DT a) (NN base)) (PP (IN in) (NP (DT an) (NN afternoon) (NN game))))))))))) (. .)))	(ROOT (S (NP (DT A) (NN team)) (VP (VBZ is) (VP (VBG trying) (PP (TO to) (NP (NN score))) (NP (DT the) (NNS games)) (VP (VBG winning) (PRT (RP out))))) (. .)))	A Little League team tries to catch a runner sliding into a base in an afternoon game.	A team is trying to score the games winning out.	neutral	neutral
31	3637966641.jpg#1	3637966641.jpg#1r1e	( ( A ( Little ( League team ) ) ) ( ( tries ( to ( catch ( ( a runner ) ( sliding ( into ( ( a base ) ( in ( an ( afternoon game ) ) ) ) ) ) ) ) ) ) . ) )	( ( A team ) ( ( is ( trying ( to ( ( tag ( a runner ) ) out ) ) ) ) . ) )	(ROOT (S (NP (DT A) (NNP Little) (NNP League) (NN team)) (VP (VBZ tries) (S (VP (TO to) (VP (VB catch) (NP (NP (DT a) (NN runner)) (VP (VBG sliding) (PP (IN into) (NP (NP (DT a) (NN base)) (PP (IN in) (NP (DT an) (NN afternoon) (NN game))))))))))) (. .)))	(ROOT (S (NP (DT A) (NN team)) (VP (VBZ is) (VP (VBG trying) (S (VP (TO to) (VP (VB tag) (NP (DT a) (NN runner)) (PRT (RP out))))))) (. .)))	A Little League team tries to catch a runner sliding into a base in an afternoon game.	A team is trying to tag a runner out.	entailment	entailment
32	3637966641.jpg#1	3637966641.jpg#1r1c	( ( A ( Little ( League team ) ) ) ( ( tries ( to ( catch ( ( a runner ) ( sliding ( into ( ( a base ) ( in ( an ( afternoon game ) ) ) ) ) ) ) ) ) ) . ) )	( ( A team ) ( ( is ( ( playing baseball ) ( on Saturn ) ) ) . ) )	(ROOT (S (NP (DT A) (NNP Little) (NNP League) (NN team)) (VP (VBZ tries) (S (VP (TO to) (VP (VB catch) (NP (NP (DT a) (NN runner)) (VP (VBG sliding) (PP (IN into) (NP (NP (DT a) (NN base)) (PP (IN in) (NP (DT an) (NN afternoon) (NN game))))))))))) (. .)))	(ROOT (S (NP (DT A) (NN team)) (VP (VBZ is) (VP (VBG playing) (NP (NN baseball)) (PP (IN on) (NP (NNP Saturn))))) (. .)))	A Little League team tries to catch a runner sliding into a base in an afternoon game.	A team is playing baseball on Saturn.	contradiction	contradiction
