index	question	sentence	label
38	Analysis by what organization detailed that municipality-based rankings may be inaccurate?	However, an analysis by the Regional Data Cooperative for Greater New Haven, Inc., has shown that due to issues of comparative denominators and other factors, such municipality-based rankings can be considered inaccurate.	entailment
39	How many trophy designs have there bee?	The FA decided to change the design after the 1909 winners, Manchester United, made their own replica, leading the FA to realise they did not own the copyright.	not_entailment
40	What is the molecular weight loss of antibacterial compounds?	Compounds that are still isolated from living organisms are the aminoglycosides, whereas other antibacterials—for example, the sulfonamides, the quinolones, and the oxazolidinones—are produced solely by chemical synthesis.	not_entailment
41	What colleagues are best to work with to reach a consensus?	Gephardt added that "inclusion and empowerment of the people on the line have to be done to get the best performance" from the minority party.	not_entailment
42	What city was FIFA formed?	FIFA, the international football body, was formed in Paris in 1904 and declared that they would adhere to Laws of the Game of the Football Association.	entailment
43	Which philosopher described the invention of a belt drive?	Yang Xiong described the invention of the belt drive for a quilling machine, which was of great importance to early textile manufacturing.	entailment
44	How many alumni does Olin Business School have worldwide?	Olin has a network of more than 16,000 alumni worldwide.	entailment
45	What was the goal of the 2002 Philippines deployment?	The goal of the program was to provide medical care and services to the region of Basilan as part of a "Hearts and Minds" program.	not_entailment
46	Which band was he largest benefit concert in history about?	Performers, including Def Leppard, Robert Plant, Guns N' Roses, Elton John, David Bowie, George Michael, Annie Lennox, Seal, Extreme, and Metallica performed various Queen songs along with the three remaining Queen members (and Spike Edney.)	entailment
47	The most popular early Marvel heroes were collectively and colloquially known as what?	While no other Timely character would achieve the success of these "big three", some notable heroes—many of which continue to appear in modern-day retcon appearances and flashbacks—include the Whizzer, Miss America, the Destroyer, the original Vision, and the Angel.	entailment
48	Did everyone endorse Gaddafi?	Gaddafi remained the government's public face, with the identities of the other RCC members only being publicly revealed on 10 January 1970.	not_entailment
49	What type of lanterns are used outside elevators as well as inside most cabs?	The former are almost universal in cab interiors with more than two stops and may be found outside the elevators as well on one or more of the floors.	not_entailment
50	Who covers incorporated associations or councils?	Furthermore, they operate across a multitude of domains and industries, from health, employment, disability and other human services to local sporting clubs, credit unions and research institutes.	not_entailment
51	Where is the Universidad Tecnologica located?	In addition, the prestigious University of California maintains a campus known as "Casa de California" in the city.	not_entailment
52	What is Torrence's 1989 theory about that ties into tool kit variability ?	Using temperature as a proxy for risk, Collard et al.'s results suggest that environments with extreme temperatures pose a threat to hunter-gatherer systems significant enough to warrant increased variability of tools.	not_entailment
53	What conflict was supposed to have provided Iraqi forces with battle experience?	Iraqi forces were battle-hardened after 8 years of war with Iran, and they were well equipped with late model Soviet tanks and jet fighters, but the antiaircraft weapons were crippled; in comparison, the US had no large-scale combat experience since its withdrawal from Vietnam nearly 20 years earlier, and major changes in US doctrine, equipment and technology since then had never been tested under fire.	entailment
54	What was the average number of people in a Plymouth household?	From the 2011 Census, the Office for National Statistics published that Plymouth's unitary authority area population was 256,384; 15,664 more people than that of the last census from 2001, which indicated that Plymouth had a population of 240,720.	not_entailment
55	Who wrote in their will that they received loving care from the emperor in the east?	The Tai Situpa is even supposed to have written in his will: "In the past I received loving care from the emperor in the east.	entailment
56	In addition to social and cultural characteristics, what else is taken into account for race classification in the US census?	" OMB defines the concept of race as outlined for the U.S. Census as not "scientific or anthropological" and takes into account "social and cultural characteristics as well as ancestry", using "appropriate scientific methodologies" that are not "primarily biological or genetic in reference.	entailment
57	How many men were in Napoleon's army when the battle began?	Bonaparte began with an army of 13,000 men; 1,500 were reported missing, 1,200 died in combat, and thousands perished from disease—mostly bubonic plague.	entailment
58	How many paper cups are used by Americans each year?	Americans also use on the order of 16 billion paper cups per year.	entailment
59	Do the roots and shoots need each other?	Roots that spread out close to the surface, such as those of willows, can produce shoots and ultimately new plants.	not_entailment
60	Why do people say KInseys work is not correct?	Kinsey's methods have been criticized as flawed, particularly with regard to the randomness of his sample population, which included prison inmates, male prostitutes and those who willingly participated in discussion of previously taboo sexual topics.	entailment
61	At least how many American aircraft were shot down between 1945 and 1948?	Stalin was opposed to these provocations, as he felt the USSR unready to face the West in open war so soon after the losses of World War II and at the time when US had operational nuclear weapons whereas USSR had yet to conduct its first test.	not_entailment
62	What is the electrically insulting material that sheaths a-delta fiber?	A-delta fibers is described as sharp and is felt first.	not_entailment
63	What percentage of the population is of the  Rakhine descendant line ?	The Rakhine people constitute 4% of the population.	entailment
64	How high do the mountains get in Mexico City's region?	Mexico City is located in the Valley of Mexico, sometimes called the Basin of Mexico.	not_entailment
65	What was the former 10-year moratorium on the construction of nuclear plants the result of?	The former ten-year moratorium on the construction of new nuclear power plants was the result of a citizens' initiative voted on in 1990 which had passed with 54.5%	entailment
66	How far is to the neighboring capitol of Canelones?	The approximate distances to the neighbouring department capitals by road are, 90 kilometres (56 mi) to San Jose de Mayo (San Jose Department) and 46 kilometres (29 mi) to Canelones (Canelones Department).	entailment
67	Who overturned the Taft Vale judgement?	One of the first acts of the new Liberal Government was to reverse the Taff Vale judgement.	entailment
68	When did settlements appear in Madhya Pradesh?	The first confirmed semipermanent settlements appeared 9,000 years ago in the Bhimbetka rock shelters in modern Madhya Pradesh, India.	entailment
69	How many families were still without permanent homes?	He stated that 200,000 homes had been rebuilt, and 685,000 were under reconstruction, but 1.94 million households were still without permanent shelter.	entailment
70	What was the name of the airport the United States built on Ascension Island?	A local industry manufacturing fibre from New Zealand flax was successfully reestablished in 1907 and generated considerable income during the First World War.	not_entailment
71	Where are most of them from?	Additionally, there are around 60,000 non-Jewish African immigrants in Israel, some of whom have sought asylum.	not_entailment
72	According to Popper, the scientific selection process favors which type of theory?	Theories that say more about the way things appear are to be preferred over those that do not; the more generally applicable a theory is, the greater its value.	entailment
73	What kind of losses take place in transformers and inductors during conversion/transmission process?	Power conversion for a DC system takes place mainly in a railway substation where large, heavy, and more efficient hardware can be used as compared to an AC system where conversion takes place aboard the locomotive where space is limited and losses are significantly higher.	not_entailment
74	Who was at one time Laemmle's personal secretary?	Thalberg had been Laemmle's personal secretary, and Laemmle was impressed by his cogent observations of how efficiently the studio could be operated.	not_entailment
75	Larry McKinney explained that a two-month delay in drilling could do what?	Following the accident, a Fortune magazine contacted Larry McKinney, the executive director at the Harte Research Institute for Gulf of Mexico Studies at Texas A&M, and he explained that "A two-month delay in the Arctic is not a two-month delay ...	not_entailment
76	What is KMC an initialism of?	Kathmandu Metropolitan City (KMC), in order to promote international relations has established an International Relations Secretariat (IRC).	entailment
77	After completing his studies, under whose rule did he become a regular canon?	As an adolescent, he had a particular love of theology and the Scriptures became the foundation of his spirituality.	not_entailment
78	When did the United States declare war on Japan?	On 8 December, the United States, the United Kingdom, Canada, and the Netherlands declared war on Japan, followed by China and Australia the next day.	entailment
79	When was Adolf Hitlers first visit to the Alps?	Austrian-born Adolf Hitler had a lifelong romantic fascination with the Alps and by the 1930s established a home in the Obersalzberg region outside of Berchtesgaden.	not_entailment
80	What was the port known as prior to the Swedish occupation of St. Barts?	Earlier to their occupation, the port was known as "Carénage".	entailment
81	When was USB Battery Charging Specification Revision 1.2 released?	The USB Battery Charging Specification Revision 1.2 (released in 2010) makes clear that there are safety limits to the rated current at 5 A coming from USB 2.0.	entailment
82	Who did Yaroslav's sons marry?	Yaroslav the Wise, whose stepmother belonged to the Macedonian dynasty, the greatest one to rule Byzantium, married the only legitimate daughter of the king who Christianized Sweden.	not_entailment
83	What were added to scoring in 2007?	The final score is calculated by taking deductions from the E score, and adding the result to the D score.	not_entailment
84	What palace was the place of creation for illustrated manuscripts?	In Topkapi Palace, these manuscripts were created by the artists working in Nakkashane, the atelier of the miniature and illumination artists.	entailment
85	Where does most of Canada's asphalt end up these days?	The Canadian province of Alberta has most of the world's reserves of natural bitumen, in three huge deposits covering 142,000 square kilometres (55,000 sq mi), an area larger than England or New York state.	not_entailment
86	What kind of books did housebuilders use?	Vernacular architecture became increasingly ornamental.	not_entailment
87	Which scientist noticed the relationship between the speed and distance of galaxies?	The observation by Edwin Hubble in 1929 that the speed at which galaxies recede positively correlates with their distance, led to the understanding that the universe is expanding, and the formulation of the Big Bang theory by Georges Lemaître.	entailment
88	What is Kingsbridge Armory being turned into?	The Kingsbridge Armory, often cited as the largest armory in the world, is scheduled for redevelopment as the Kingsbridge National Ice Center.	entailment
89	When are 192 samples taken instead of 576?	If there is a transient, 192 samples are taken instead of 576.	entailment
90	Which of Calatrava's creations contains an IMAX theater?	i les Ciències), which contains an opera house/performing arts centre, a science museum, an IMAX cinema/planetarium, an oceanographic park and other structures such as a long covered walkway and restaurants.	not_entailment
91	What is Seattle's average December temperature?	Winters are cool and wet with December, the coolest month, averaging 40.6 °F (4.8 °C), with 28 annual days with lows that reach the freezing mark, and 2.0 days where the temperature stays at or below freezing all day; the temperature rarely lowers to 20 °F (−7 °C).	entailment
92	Bell learned to accurately read lips even without knowing what?	In this treatise, his father explains his methods of how to instruct deaf-mutes (as they were then known) to articulate words and read other people's lip movements to decipher meaning.	not_entailment
93	What is Oklahoma's largest school district?	Oklahoma City is home to the state's largest school district, Oklahoma City Public Schools.	entailment
94	What is a name for the reduced complement of genetic material necessary for an organism to live?	There is experimental work being done on minimal genomes for single cell organisms as well as minimal genomes for multi-cellular organisms (see Developmental biology).	entailment
95	In what year was the Mananga Management Centre founded?	The Mananga management centre was established as Mananga Agricultural Management Centre in 1972 as an International Management Development Centre catering for middle and senior managers, it is located at Ezulwini.	entailment
96	What rank provided its holder territorial rule?	Each successive rank gave its holder greater pensions and legal privileges.	not_entailment
97	What happened to Hornswoggle?	Dave Finlay was often aided in his matches by a midget known mainly as Hornswoggle while in WWE, who hid under the ring and gave a shillelagh to Finlay to use on his opponent.	not_entailment
98	What percentage of Mexico City's population was indigenous in 1921?	In 1921, Mexico City had less than one million inhabitants.	not_entailment
99	In what year did a French magazine describe the use of asphalt?	One hundred years after the fall of Constantinople in 1453, Pierre Belon described in his work Observations in 1553 that pissasphalto, a mixture of pitch and bitumen, was used in Dubrovnik for tarring of ships from where it was exported to a market place in Venice where it could be bought by anyone.	not_entailment
100	What subdivision was associated with the province?	Two larger subdivisions appeared: the province (Estonian: kihelkond) and the land (Estonian: maakond).	entailment
101	At about what wavelength of light are human eyes most sensitive?	3.58×10−19 J. That is a very small amount of energy in terms of everyday experience, but everyday experience is not concerned with individual photons any more than with individual atoms or molecules.	not_entailment
102	In 1887 the US Government wanted to undo Bell's patent due to fraud and what?	On January 13, 1887, the U,S. Government moved to annul the patent issued to Bell on the grounds of fraud and misrepresentation.	entailment
103	What county is Charleston, South Carolina located in?	The city lies just south of the geographical midpoint of South Carolina's coastline and is located on Charleston Harbor, an inlet of the Atlantic Ocean formed by the confluence of the Ashley and Cooper Rivers, or, as is locally expressed, "where the Cooper and Ashley Rivers come together to form the Atlantic Ocean."	not_entailment
104	Where do bad and weak assets get moved in times of soverign debt crisis?	Rescue operations involving sovereign debt have included temporarily moving bad or weak assets off the balance sheets of the weak member banks into the balance sheets of the European Central Bank.	entailment
105	Who has the majority of the seats in Bern's City Council?	The last election was held on 25 November 2012.	not_entailment
106	What magazine covers Ann Arbor's local businesses?	The Ann Arbor Business Review covers local business in the area.	entailment
107	When was Longchamp isolated in the Tower of London?	John's position was undermined by Walter's relative popularity and by the news that Richard had married whilst in Cyprus, which presented the possibility that Richard would have legitimate children and heirs.	not_entailment
108	Which two empires ruled Armenia between the 16 and 19th Century?	Between the 16th century and 19th century, the traditional Armenian homeland composed of Eastern Armenia and Western Armenia came under the rule of the Ottoman and successive Iranian empires, repeatedly ruled by either of the two over the centuries.	entailment
109	What did Sinnreich call the link between lower music sales and peer-to-peer sharing site?	He argues that the industry at the time was undergoing artificial expansion, what he describes as a "'perfect bubble'—a confluence of economic, political, and technological forces that drove the aggregate value of music sales to unprecedented heights at the end of the twentieth century".	not_entailment
110	What English representative body provided consent for royal taxation?	Kings profited from warfare that extended royal legislation and increased the lands they directly controlled.	not_entailment
111	What is the range of wavelengths for cheap UV LEDs?	Ultraviolet LEDs in a range of wavelengths are becoming available on the market.	not_entailment
112	How much of the states population does the "Big 7" have?	These communities, excluding Havre, are colloquially known as the "big 7" Montana cities, as they are consistently the seven largest communities in Montana, with a significant population difference when these communities are compared to those that are 8th and lower on the list.	not_entailment
113	What are the main distinctive features of Islamic architecture?	Distinguishing motifs of Islamic architecture have always been ordered repetition, radiating structures, and rhythmic, metric patterns.	entailment
114	Who was added as a fourth judge in the eighth season of American Idol?	However both Carey and Minaj left after one season, and Randy Jackson also announced that he would depart the show after twelve seasons as a judge but would return as a mentor.	not_entailment
115	Which Metzinger piece was hung in La Maison Cubiste?	At the 1912 Salon d'Automne an architectural installation was exhibited that quickly became known as Maison Cubiste (Cubist House), signed Raymond Duchamp-Villon and André Mare along with a group of collaborators.	not_entailment
116	Who made Chopin's death mask?	Chopin requested that his body be opened after death (for fear of being buried alive) and his heart returned to Warsaw where it rests at the Church of the Holy Cross.	not_entailment
117	What are the software testers aware of?	Black-box testing treats the software as a "black box", examining functionality without any knowledge of internal implementation, without seeing the source code.	not_entailment
118	How are larger value capacitors often constructed?	Larger values can be made by multiple stacks of plates and disks.	entailment
119	What were replicas of the Master Sword and Hylian Shield bundled with?	Both six- and seven-track versions of the game's soundtrack were released on November 19, 2006, as part of a Nintendo Power promotion and bundled with replicas of the Master Sword and the Hylian Shield.	entailment
120	When did Mawson retire after leading several expeditions?	One month later, the doomed Scott Expedition reached the pole.	not_entailment
121	What is the largest Indo-European ethno-linguistic group in Europe?	Slavs are the largest Indo-European ethno-linguistic group in Europe.	entailment
122	In what year did Langage Power Station come on line?	On the outskirts of Plympton a combined cycle gas-powered station, the Langage Power Station, which started to produce electricity for Plymouth at the end of 2009.	entailment
123	What does MYS stand for?	Life expectancy at birth	not_entailment
124	Over how many people lived in Uruk?	There was little evidence of organized warfare or professional soldiers during the Uruk period, and towns were generally unwalled.	not_entailment
125	The terms GMT and Greenwich Mean Time are also used informally to refer to what?	The terms "GMT" and "Greenwich Mean Time" are sometimes used informally to refer to UT or UTC.	entailment
126	Whose infant daugheters both died, leaving him without an heir to the throne of England?	At birth, Victoria was fifth in the line of succession after her father and his three older brothers: the Prince Regent, the Duke of York, and the Duke of Clarence (later William IV).	entailment
127	Who is in charge of these Change in Operational Control missions?	When required to support operational missions, the Secretary of Defense (SECDEF) directs the Secretary of the Air Force (SECAF) to execute a Change in Operational Control (CHOP) of these units from their administrative alignment to the operational command of a Regional Combatant Commander (CCDR).	entailment
128	Who sold Buckingham house in 1761?	Sheffield's leasehold on the mulberry garden site, the freehold of which was still owned by the royal family, was due to expire in 1774.	not_entailment
129	ICRISTAT had success in teaching women how to make what product of nutritional value?	For example, the International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) and the Aga Khan Foundation, trained women's groups to make equinut, a healthy and nutritional version of the traditional recipe di-dèguè (comprising peanut paste, honey and millet or rice flour).	entailment
130	Along with being carved, how were altarpieces often decorated in this period?	Painted or carved wooden relief altarpieces became common, especially as churches created many side-chapels.	entailment
131	How many lines are in the rail network?	Five new light rail lines are currently in various stages of development.	not_entailment
132	What is the meaning of the Sanskrit loanword "bhāṣā?"	A Sanskrit loanword encountered in many Southeast Asian languages is the word bhāṣā, or spoken language, which is used to refer to the names of many languages.	entailment
133	Who had a special tribute at the finale?	Many figures from the show's past, including Paula Abdul, made an appearance.	not_entailment
134	Who handles serious medical emergencies on Norfolk Island?	For serious emergencies, medical evacuations are provided by the Royal Australian Air Force.	entailment
135	Which model of iPod combined the headphone jack and data port?	As of the first-generation iPod Nano and the fifth-generation iPod Classic, Apple discontinued using FireWire for data transfer (while still allowing for use of FireWire to charge the device) in an attempt to reduce cost and form factor.	not_entailment
136	What Empire did the entire region of Modern-day Switzerland become part of in the 6th century?	The entire region became part of the expanding Frankish Empire in the 6th century, following Clovis	entailment
137	What are the more traditional industries that have existed in Portugal?	Consequently, business services have overtaken more traditional industries such as textiles, clothing, footwear and cork (Portugal is the world's leading cork producer), wood products and beverages.	entailment
138	One company that IBM acquired in 2002 is?	In 2003 it initiated a project to redefine company values.	not_entailment
139	What video formats are supported for UPnP streaming?	This is possible with video files up to HD-resolution and with several codecs (MPEG-2, MPEG-4, WMV) and container formats (WMV, MOV, TS).	entailment
140	When was the Yale Herald established?	Newspapers include the Yale Daily News, which was first published in 1878, and the weekly Yale Herald, which was first published in 1986.	entailment
141	What is the name of the largest denomination of the Presbyterian Church in America?	The nation's largest Presbyterian denomination, the Presbyterian Church (U.S.A.) – PC (USA) – can trace their heritage back to the original PCUSA, as can the Presbyterian Church in America (PCA), the Orthodox Presbyterian Church (OPC), the Bible Presbyterian Church (BPC), the Cumberland Presbyterian Church (CPC), the Cumberland Presbyterian Church in America the Evangelical Presbyterian Church (EPC) and the Evangelical Covenant Order of Presbyterians (ECO).	entailment
142	What fuel is used for the torch?	The torch is fueled by cans of propane.	entailment
143	What is the term used to describe the "Right to collect revenue"?	The development of New Imperialism saw the conquest of nearly all eastern hemisphere territories by colonial powers.	not_entailment
144	How many people moved to New York City between April 2010 and July 2014?	New York City is the most-populous city in the United States, with an estimated record high of 8,491,079 residents as of 2014, incorporating more immigration into the city than outmigration since the 2010 United States Census.	not_entailment
145	Where did children from urban areas primarily work?	Children who were born in urban areas often found themselves working for street vendors, washing cars, helping in construction sites, weaving clothing, and sometimes even working as exotic dancers.	entailment
146	What do some people want to do with the people of Tuvalu?	For Tuvalu I think we really need to mobilise public opinion in the Pacific as well as in the [rest of] world to really talk to their lawmakers to please have some sort of moral obligation and things like that to do the right thing."	not_entailment
147	Who conquered the Eastern Provinces of the Byzantine empire?	During the Umayyad Dynasty mosaic making remained a flourishing art form in Islamic culture and it is continued in the art of zellige and azulejo in various parts of the Arab world, although tile was to become the main Islamic form of wall decoration.	not_entailment
148	What would Japan accomplish by peace after their early victories?	The Japanese leadership looked to base the conduct of the war against America on the historical experiences of the successful wars against China (1894–95) and Russia (1904–05), in both of which a strong continental power was defeated by reaching limited military objectives, not by total conquest.	not_entailment
149	What are town rights called?	Cities and towns are municipalities as well, also having city rights or town rights (Stadtrechte).	entailment
150	What "ices" makes up Neptune?	Like Jupiter and Saturn, Neptune's atmosphere is composed primarily of hydrogen and helium, along with traces of hydrocarbons and possibly nitrogen, but contains a higher proportion of "ices" such as water, ammonia, and methane.	entailment
151	What's the Dutch word for "green"?	The former take an diminutive ending and thus functions as a noun, the latter remain adverbs and have always the diminutive with the -s appended, e.g. adjective: groen ("green") → noun: groentje ("rookie"); adverb: even ("just") → adverb: eventjes ("just a minute").	entailment
152	How did Sidney Sheinberg feel about the film "Amblin'"	Studio vice president Sidney Sheinberg was impressed by the film, which had won a number of awards, and offered Spielberg a seven-year directing contract.	entailment
153	Which new trend has been associated with the Jewish Renewal movement?	In recent years, there has been increased interest in Kabbalah, which many Ashkenazi Jews study outside of the Yeshiva framework.	not_entailment
154	What is the benefit to chickens of being in a free-range farming location?	A more intensive system is yarding, in which the birds have access to a fenced yard and poultry house at a higher stocking rate.	not_entailment
155	Who did Joan marry to become queen consort?	Joan married Alexander II of Scotland to become his queen consort.	entailment
156	What are visitors of Norfolk Island recommended to purchase?	Although the hospital can perform minor surgery, serious medical conditions are not permitted to be treated on the island and patients are flown back to mainland Australia.	not_entailment
157	In what city is the Miami Amtrak Station?	The Miami Amtrak Station is located in the suburb of Hialeah near the Tri-Rail/Metrorail Station on NW 79 St and NW 38 Ave.	entailment
158	When had Tucson last had as much snow as 2013?	The most recent snowfall was on February 20, 2013 when 2.0 inches of snow blanketed the city, the largest snowfall since 1987.	entailment
159	How do the olfactory lobes of mammals compare in size to those of reptiles?	With the arrival of night-active mammals, smell replaced vision as the dominant sense, and a different way of responding arose from the olfactory sense, which is proposed to have developed into mammalian emotion and emotional memory.	not_entailment
160	How fast are signals produced by antenna transmitted?	Antennas are required by any radio receiver or transmitter to couple its electrical connection to the electromagnetic field.	not_entailment
161	What credit did Dowding receive?	However, Dowding had spent so much effort preparing day fighter defences, there was little to prevent the Germans carrying out an alternative strategy by bombing at night.	not_entailment
162	What animal did Sumerians use primary to facilitate transportation?	They used oxen as their primary beasts of burden and donkeys or equids as their primary transport animal and "woollen clothing as well as rugs were made from the wool or hair of the animals. ...	entailment
163	What is ghapama?	Arguably the favorite food is khorovats an Armenian-styled barbecue.	not_entailment
164	Who succeeded Newt Gingrich as Speaker?	In 1998, with Speaker Newt Gingrich announcing his resignation, both Majority Leader Dick Armey and Majority Whip Tom DeLay did not contest the Speakership which eventually went to Chief Deputy Whip Dennis Hastert.	entailment
165	How many divisions involved in the Allied invasion of Europe did Eisenhower visit?	This prompted him to make a point of visiting every division involved in the invasion.	entailment
166	How many international airports are in Israel?	In addition to these, the smaller Port of Eilat is situated on the Red Sea, and is used mainly for trading with Far East countries.	not_entailment
167	What are the two main things differentiating Sunni and Shia?	They differ primarily upon of how the life of the ummah ("faithful") should be governed, and the role of the imam.	entailment
168	The conformal coating can prevent leaking, shorts, and what other type of moisture damage?	PCBs intended for extreme environments often have a conformal coating, which is applied by dipping or spraying after the components have been soldered.	not_entailment
169	The first Ranger mission that didn't fail was which one?	The first successful Ranger mission was the 806-pound	not_entailment
170	What level was the disaster set at 22:15 CST, May 12?	The National Disaster Relief Commission initiated a "Level II emergency contingency plan", which covers the most serious class of natural disasters.	entailment
171	how do isps provide internet access?	Available technologies have ranged from computer modems with acoustic couplers to telephone lines, to television cable (CATV), wireless Ethernet (wi-fi), and fiber optics.	not_entailment
